Name,state,Stars,Valoracion
"Guadalajara Grill - Mexican, Best Mexican Restaurant in Tucson",Arizona,1,Malo
Frida Cantina,Pensilvania,3,Muy bueno
Margaritas Mexican Restaurant,Pensilvania,5,Muy bueno
Bartaco,Tennessee,5,Muy bueno
Cactus Restaurant & Bar,Pensilvania,2,Malo
Taziki's Mediterranean Cafe - Hermitage,Tennessee,2,Malo
Gallito @ Sparkman Wharf,Florida,3,Muy bueno
Bartaco,Tennessee,5,Muy bueno
Azteca Mexican Grill,Idaho,1,Muy bueno
Taco Bell,Missouri,1,Malo
Juan More Tamale,Missouri,5,Muy bueno
South Philly Barbacoa,Pensilvania,5,Muy bueno
Grumpy Gringo,Florida,1,Malo
Bajo Sexto Taco,Tennessee,2,Malo
Blue Willow Restaurant & Gift Shop,Arizona,2,Malo
Crystal Agave Mexican Grill,Florida,5,Muy bueno
La Super-Rica Taqueria,California,5,Muy bueno
Southwest Diner,Missouri,4,Muy bueno
Jose Mexican Grill,Tennessee,2,Malo
El Sur Restaurant,Arizona,1,Muy bueno
Los Arroyos,Indiana,2,Malo
Crystal Agave Mexican Grill,Florida,4,Muy bueno
Habaneros Taco Grill,Nevada,1,Malo
"Guadalajara Grill - Fiesta, Best Mexican Restaurant in Tucson",Arizona,5,Muy bueno
Zeppelin,Nevada,1,Muy bueno
Mariachi's Mexican Restaurant & Cantina,Illinois,4,Muy bueno
Don Tequila,Nueva Jersey,1,Malo
Chili's,Nueva Jersey,5,Muy bueno
Moe's Southwest Grill,Missouri,1,Malo
Dos Hombres Taco House,Indiana,5,Muy bueno
Nada,Indiana,5,Muy bueno
El Zarape Restaurant,Nueva Jersey,5,Muy bueno
El Rey,Pensilvania,3,Muy bueno
Southwest Diner,Missouri,5,Muy bueno
Charro del Rey,Arizona,5,Muy bueno
Loren & Mari Mexican Grill,Indiana,4,Muy bueno
Chipotle Mexican Grill,Nueva Jersey,3,Muy bueno
El Tapatio,Missouri,5,Muy bueno
Zeppelin,Nevada,5,Muy bueno
Capital Tacos,Florida,5,Muy bueno
Red Mesa Cantina,Florida,5,Muy bueno
Vicentas Mexican Cuisine,California,5,Muy bueno
Taqueria El Dolar,Tennessee,5,Muy bueno
Bartaco,Tennessee,4,Muy bueno
La Hacienda Taqueria,Tennessee,4,Muy bueno
Frenchy's Saltwater Cafe,Florida,5,Muy bueno
El Gordito,Illinois,4,Muy bueno
Taqueria Corona,Luisiana,5,Muy bueno
Cantina Laredo,Pensilvania,3,Muy bueno
Charro Steak & Del Rey,Arizona,5,Muy bueno
Corazon Cocina,California,4,Muy bueno
Mission Taco Joint - Historic Soulard,Missouri,5,Muy bueno
Bakersfield,Tennessee,5,Muy bueno
Loco Mexican Restaurant & Cantina,Indiana,4,Muy bueno
Rocco's Tacos and Tequila Bar - Tampa,Florida,5,Muy bueno
Nada,Indiana,5,Muy bueno
Taqueria El Sol,Florida,2,Malo
Our Bar,Nevada,5,Muy bueno
Cantina Feliz,Pensilvania,4,Muy bueno
Taco Bell,Indiana,1,Malo
Besito Mexican Restaurant,Florida,1,Muy bueno
Chili's,Florida,1,Regular
Neveria La Vallesana,Missouri,3,Malo
El Jefe's Cantina,Nevada,1,Muy bueno
Chow Public Market and Eatery,Idaho,1,Regular
El Guero Canelo,Arizona,4,Muy bueno
Soy Bistro,Tennessee,5,Muy bueno
Parrilla La Nueva Fogata,Nueva Jersey,5,Muy bueno
The Corner,Pensilvania,5,Muy bueno
El Diablo Burritos,Delaware,5,Muy bueno
El Guero Canelo,Arizona,5,Muy bueno
Chipotle Mexican Grill,Pensilvania,1,Muy bueno
Boca Tacos Y Tequila,Arizona,3,Muy bueno
Fast Taco's,Indiana,4,Muy bueno
The B-Line,Arizona,3,Muy bueno
Poco & Moms,Arizona,5,Muy bueno
Juan's Flying Burrito,Luisiana,1,Muy bueno
Burrito Bandito,Nevada,5,Muy bueno
goa taco,California,5,Muy bueno
Spotted Donkey Cantina,Florida,5,Muy bueno
Livery - Indianapolis,Indiana,5,Muy bueno
El Gato Negro,Luisiana,2,Muy bueno
La Villa Mexican Grill & Seafood,Tennessee,2,Muy bueno
Neveria La Vallesana,Missouri,5,Muy bueno
Mission Taqueria,Pensilvania,4,Muy bueno
Bakersfield,Indiana,3,Muy bueno
Besito Mexican Restaurant,Florida,2,Muy bueno
Pueblo Real Mexican Restaurant - Franklin,Tennessee,5,Muy bueno
Los Compadres Mexican Restaurant,Nevada,1,Muy bueno
Chipotle Mexican Grill,California,1,Muy bueno
Tijuana Flats,Florida,3,Muy bueno
Bert's Chuckwagon,Illinois,5,Muy bueno
El Charro Cafe,Arizona,1,Malo
Jack in the Box,Nevada,1,Muy bueno
Meximac,Pensilvania,1,Malo
Taco Bell,Missouri,1,Muy bueno
Chimi's Fresh-Mex,Missouri,3,Muy bueno
Xolo Tacos,Pensilvania,5,Muy bueno
South Philly Barbacoa,Pensilvania,5,Muy bueno
Restaurante Honduras,Tennessee,2,Muy bueno
The Patio,Indiana,4,Muy bueno
Las Palmas Mexican Restaurant,Tennessee,2,Muy bueno
Atomic Cowboy,Missouri,5,Muy bueno
El Tequila,Nueva Jersey,3,Muy bueno
Zocalo,Luisiana,3,Muy bueno
Taco Bus,Florida,1,Malo
Better Byrd,Florida,5,Muy bueno
Taco Bell,Indiana,1,Malo
Charro Steak & Del Rey,Arizona,3,Malo
La Calaca Feliz,Pensilvania,5,Muy bueno
El Charro Cafe,Arizona,1,Muy bueno
Del Taco,Nevada,1,Malo
Mexican Food Factory,Nueva Jersey,5,Muy bueno
Rocco's Tacos and Tequila Bar - Tampa,Florida,4,Muy bueno
Loren & Mari Mexican Grill,Indiana,2,Muy bueno
Pueblo Lindo,Idaho,5,Muy bueno
Rosepepper Mexican Grill,Tennessee,1,Malo
Taqueria Corona,Luisiana,5,Muy bueno
El Charro Cafe,Arizona,1,Malo
Mariachis II Mexican Restaurant,Missouri,3,Malo
Fritangas Snacks,Pensilvania,5,Muy bueno
Frenchy's Saltwater Cafe,Florida,5,Muy bueno
Cafe Poca Cosa,Arizona,4,Muy bueno
Chili's,Tennessee,4,Muy bueno
Green Lemon,Florida,5,Muy bueno
Nachomamas Tex-Mex,Missouri,5,Muy bueno
Salty's Island Bar & Grille,Florida,5,Muy bueno
Gallito @ Sparkman Wharf,Florida,2,Malo
Sister Cities Cajun,Missouri,5,Muy bueno
Tacos Y Mariscos Lopez,Tennessee,5,Muy bueno
Border Cafe,Delaware,4,Muy bueno
La Margarita,Indiana,4,Muy bueno
Senor Salsa,Pensilvania,3,Muy bueno
Broadway Brewhouse,Tennessee,3,Malo
The Velvet Cactus,Luisiana,4,Muy bueno
Taco Bus,Florida,1,Malo
Mound City Sandwich Shop,Missouri,3,Muy bueno
El Burro Loco,Missouri,5,Muy bueno
Tumerico,Arizona,5,Muy bueno
Reforma Modern Mexican Mezcal + Tequila,Arizona,5,Muy bueno
Tacos El Tio,Nueva Jersey,5,Muy bueno
Taco Bell,Arizona,1,Muy bueno
Biscuits Cafe,Indiana,3,Muy bueno
Cholita Taqueria,Indiana,3,Muy bueno
La Tentacion Pizza & Mexican Grill,Nueva Jersey,5,Muy bueno
Jimmy Hula's,Florida,3,Muy bueno
Los tres Dominguez,Pensilvania,5,Muy bueno
Plaza Azteca - King of Prussia,Pensilvania,2,Malo
Tired Hands Fermentaria,Pensilvania,4,Muy bueno
Mi Hacienda Mexican Restaurant,Indiana,4,Muy bueno
Calle Tepa,Arizona,4,Muy bueno
Penca,Arizona,3,Muy bueno
LA Taco Cantina,Missouri,3,Muy bueno
Guillermo's Double L Restaurant,Arizona,5,Muy bueno
Bouchon,California,5,Muy bueno
East Beach Tacos,California,3,Muy bueno
Barrio,Missouri,2,Malo
Saint Anejo,Tennessee,5,Muy bueno
Chipotle Mexican Grill,Florida,4,Muy bueno
Casa Grande Mexican Restaurant & Cantina,Nevada,5,Muy bueno
The Funky Taco,Idaho,5,Muy bueno
Carnitas La Yoca,Arizona,5,Muy bueno
California Tacos and Taproom,California,5,Muy bueno
Taqueria Emanuel,Florida,5,Muy bueno
Blue Corn,Pensilvania,5,Muy bueno
Mariscos Chihuahua,Arizona,5,Muy bueno
The Happy Taco,Tennessee,5,Muy bueno
El Rey,Pensilvania,1,Muy bueno
La Botana Tacos,Arizona,4,Muy bueno
Taco Bus,Florida,4,Muy bueno
Plaza Mariachi,Tennessee,5,Muy bueno
Capital Tacos,Florida,4,Muy bueno
Blue Willow Restaurant & Gift Shop,Arizona,5,Muy bueno
Border Cafe,Delaware,5,Muy bueno
Azteca Mexican Restaurant,Missouri,5,Muy bueno
Mi Nidito Restaurant,Arizona,5,Muy bueno
Cielito Lindo,Nueva Jersey,5,Muy bueno
Rio Grande Tacos,Luisiana,5,Muy bueno
El Charro Cafe,Arizona,1,Muy bueno
Guadalajara Original Grill,Arizona,1,Malo
Paco's,Arizona,5,Muy bueno
Gringo Tacos + Burgers,Missouri,5,Muy bueno
King George II Inn,Pensilvania,4,Muy bueno
La Botana Tacos,Arizona,2,Muy bueno
Camino Real,Tennessee,2,Muy bueno
Mariscos Chihuahua,Arizona,5,Muy bueno
La-China Poblana,Nueva Jersey,5,Muy bueno
La Parrilla Suiza,Arizona,5,Muy bueno
Tortas Ebenezer,Nevada,3,Muy bueno
Central Taco & Tequila,Nueva Jersey,4,Muy bueno
Central Taco & Tequila,Nueva Jersey,1,Malo
Taco Bell,Pensilvania,1,Malo
Poco & Moms,Arizona,3,Muy bueno
La Parrilla Suiza,Arizona,1,Muy bueno
The Funky Taco,Idaho,5,Muy bueno
Vegan GreenGO,California,5,Muy bueno
Tumerico,Arizona,5,Muy bueno
Tiki Tolteca,Luisiana,4,Muy bueno
Tacos Pipeye,California,5,Muy bueno
Taco John's,Nevada,2,Muy bueno
Twisted Timber Tavern,Idaho,5,Muy bueno
Chili's,Arizona,5,Muy bueno
Fogatas Mexican Restaurant - Franklin,Tennessee,5,Muy bueno
Yard House,Indiana,3,Muy bueno
Cancun Mexican Restaurant,Pensilvania,5,Muy bueno
Double Decker Pizza - Media,Pensilvania,3,Muy bueno
Tu Casa Hispanic & American Restaurant,Pensilvania,1,Malo
San Jose Mexican Restaurant,Florida,1,Muy bueno
Seoul Taco,Missouri,4,Muy bueno
Nada,Indiana,5,Muy bueno
Casa Taco Express,Nueva Jersey,1,Malo
51st Deli,Tennessee,5,Muy bueno
Que Chula Es Puebla,Pensilvania,4,Muy bueno
Sculley's Waterfront Restaurant,Florida,3,Muy bueno
San Jose Mexican Restaurant,Florida,1,Malo
Las Bugambilias,Pensilvania,4,Muy bueno
Sabrina's West Street Kitchen,Nevada,5,Muy bueno
Condado Tacos,Indiana,3,Muy bueno
Pearly's Beach Eats,Florida,2,Muy bueno
Jack in the Box,California,1,Malo
Mari Chuy's - Midtown,Nevada,4,Muy bueno
Nana's Kitchen,Arizona,1,Malo
Crazy Burrito,Florida,5,Muy bueno
Taqueria La Flama,Idaho,4,Muy bueno
CALI - Tampa Palms,Florida,5,Muy bueno
El Gato Negro,Luisiana,5,Muy bueno
Domingo's Cafe,California,5,Muy bueno
Tequila's Mexican Grill & Cantina,Florida,2,Muy bueno
Freebirds,California,3,Malo
Casa Molina,Arizona,1,Malo
Mad Mex - Wynnewood,Pensilvania,4,Muy bueno
On The Border Mexican Grill & Cantina,Arizona,5,Muy bueno
Los Patios,Indiana,5,Muy bueno
Rosy's Taco Bar,Pensilvania,2,Muy bueno
On The Border Mexican Grill & Cantina,Indiana,1,Muy bueno
Frenchy's Saltwater Cafe,Florida,4,Muy bueno
Nada,Indiana,5,Muy bueno
Chuy's,Florida,3,Muy bueno
California Tortilla,Pensilvania,2,Malo
Tumerico,Arizona,5,Muy bueno
Vallarta's Mexican Restaurant,Florida,1,Malo
Lolis Mexican Cravings,Florida,4,Muy bueno
El Indio,Arizona,2,Malo
Casino Del Sol,Arizona,5,Muy bueno
Jack in the Box,Nevada,2,Malo
The Tamale Place,Indiana,5,Muy bueno
Charro del Rey,Arizona,5,Muy bueno
Saint Anejo,Tennessee,2,Malo
"Guadalajara Grill - Mexican, Best Mexican Restaurant in Tucson",Arizona,5,Muy bueno
El Mesquite Grill,Luisiana,3,Muy bueno
Better Byrd,Florida,5,Muy bueno
Santa Fe Mexican Grill,Florida,1,Muy bueno
Cantina Laredo,Missouri,2,Muy bueno
Chili's,Pensilvania,1,Muy bueno
Riviera Maya Mexican Restaurant,Indiana,5,Muy bueno
Lolis Mexican Cravings,Florida,5,Muy bueno
Verde Flavors Of Mexico,Indiana,5,Muy bueno
Taco Vanny,Florida,1,Malo
Boca Tacos Y Tequila,Arizona,2,Malo
Tex Mex Connection,Pensilvania,1,Malo
Ixca,Indiana,3,Muy bueno
Aldertos Fresh Mexican Food,Nevada,5,Muy bueno
Charro Steak & Del Rey,Arizona,5,Muy bueno
Sabor Latin Cuisine,Nevada,1,Malo
Crystal Agave Mexican Grill,Florida,5,Muy bueno
On The Border Mexican Grill & Cantina,Indiana,2,Muy bueno
Mexican Food Stand,Pensilvania,5,Malo
Taco Bell,Florida,4,Muy bueno
The VIP Mexican Restaurant & Lounge,Florida,1,Muy bueno
Guadalajara Original Grill,Arizona,3,Muy bueno
Araña Taqueria y Cantina,Luisiana,1,Malo
Jack in the Box,Arizona,1,Malo
Tired Hands Fermentaria,Pensilvania,5,Muy bueno
Tequilas Restaurant,Pensilvania,5,Muy bueno
Taco Bell,Nueva Jersey,1,Malo
Loren & Mari Mexican Grill,Indiana,4,Muy bueno
Seis Kitchen,Arizona,3,Muy bueno
Grand Buffet,Luisiana,4,Muy bueno
Mission Taco Joint - Historic Soulard,Missouri,5,Muy bueno
South Philly Barbacoa,Pensilvania,5,Muy bueno
Loren & Mari Mexican Grill,Indiana,5,Muy bueno
Naked Fins,Idaho,1,Muy bueno
Plaza Azteca - Plymouth Meeting,Pensilvania,5,Muy bueno
El Pollo Loco,Nevada,4,Muy bueno
Adelita Taqueria & Restaurant,Pensilvania,5,Muy bueno
Charro del Rey,Arizona,2,Muy bueno
Plaza Azteca - Plymouth Meeting,Pensilvania,5,Muy bueno
Taco Bell,Pensilvania,2,Muy bueno
Las Palmas Mexican Restaurant,Tennessee,3,Muy bueno
Agave House,Luisiana,3,Muy bueno
Livery - Indianapolis,Indiana,5,Muy bueno
Casita Taqueria,Florida,5,Muy bueno
Chipotle Mexican Grill,Florida,1,Malo
Mi Hacienda Mexican Restaurant,Indiana,5,Muy bueno
Santa Fe Mexican Grill,Florida,2,Muy bueno
Los Patios,Indiana,5,Muy bueno
Los Catrachos,Luisiana,5,Muy bueno
Lumbrada,Pensilvania,5,Muy bueno
Nudie's Honky Tonk,Tennessee,4,Muy bueno
Tacos Ensenada,Nevada,5,Muy bueno
El Dorado,Tennessee,2,Muy bueno
Wok o Taco,Missouri,4,Muy bueno
Super Burrito,Nevada,1,Malo
Nectar Urban Cantina,Tennessee,5,Muy bueno
Honest Tom's Plant Based Taco Shop,Pensilvania,1,Malo
Los Jefes Tortilleria & Grill,Luisiana,4,Muy bueno
Capital Tacos,Florida,5,Muy bueno
Lakeside Bar & Grill,Nevada,4,Muy bueno
La Roca,Pensilvania,5,Muy bueno
Los Mexicanos,Florida,1,Muy bueno
El Guero Canelo,Arizona,5,Muy bueno
Santa Barbara Chicken Ranch,California,3,Muy bueno
La Super-Rica Taqueria,California,4,Muy bueno
La Calaca Feliz,Pensilvania,5,Muy bueno
El Gallo Tropical,Nueva Jersey,4,Muy bueno
Broadway Brewhouse,Tennessee,5,Muy bueno
Cactus Restaurant & Bar,Pensilvania,5,Muy bueno
Carmelitas Mexican Grill & Cantina,Florida,5,Muy bueno
Paco's Taqueria,Indiana,5,Muy bueno
Coyote Rojo # 4,Florida,5,Muy bueno
Chipotle Mexican Grill,Pensilvania,1,Muy bueno
Rey Azteca,Pensilvania,5,Muy bueno
Roost,California,5,Muy bueno
El Dorado,Tennessee,5,Muy bueno
Cantina Feliz,Pensilvania,4,Muy bueno
Johnny Sanchez,Luisiana,4,Muy bueno
Blanco Tacos + Tequila,Arizona,5,Muy bueno
Loren & Mari Mexican Grill,Indiana,5,Muy bueno
Taqueria El Torito,Idaho,5,Muy bueno
Margaritas Mexican Restaurant,Pensilvania,1,Malo
El Molinito,Arizona,3,Muy bueno
East Beach Tacos,California,5,Muy bueno
Yard House,Indiana,1,Malo
Tacos El Tio,Nueva Jersey,3,Muy bueno
Espíritu Mezcaleria,Luisiana,5,Muy bueno
Taco Giro,Arizona,1,Muy bueno
Besito Mexican Restaurant,Pensilvania,5,Muy bueno
Verde Flavors Of Mexico,Indiana,5,Muy bueno
Mission Taco Joint - Streets of St. Charles,Missouri,3,Muy bueno
Chipotle Mexican Grill,Indiana,2,Muy bueno
Tacos Apson,Arizona,5,Muy bueno
El Paisano Taqueria y Pupuseria,Nevada,5,Muy bueno
Buho's Mexican Restaurant,Pensilvania,5,Muy bueno
Chipotle Mexican Grill,Florida,1,Malo
Nacho's Mexican Restaurant,Tennessee,5,Muy bueno
Oscar's Taco Shop - The Nations,Tennessee,5,Muy bueno
Rosepepper Mexican Grill,Tennessee,3,Muy bueno
Tijuana Flats,Florida,5,Muy bueno
Kalbi Taco Shack,Missouri,5,Muy bueno
El Rey de Oros,Pensilvania,1,Malo
On The Border Mexican Grill & Cantina,Indiana,2,Malo
Felipe's Mexican Taqueria - French Quarter,Luisiana,5,Muy bueno
Charro del Rey,Arizona,5,Muy bueno
Nada,Tennessee,5,Muy bueno
Carmelitas Mexican Grill & Cantina,Florida,5,Muy bueno
Saint Anejo,Tennessee,4,Muy bueno
Tierra Caliente,Pensilvania,1,Malo
Grand Hacienda,Florida,1,Malo
El Paisano Taqueria y Pupuseria,Nevada,2,Muy bueno
El Charro Cafe,Arizona,5,Muy bueno
Local Taco,Tennessee,5,Muy bueno
Red Mesa Cantina,Florida,3,Muy bueno
Plazita Mexico Cafe,Arizona,5,Muy bueno
Cantina Dos Segundos,Pensilvania,4,Muy bueno
Penca,Arizona,3,Muy bueno
Los Patios,Indiana,5,Muy bueno
Taco Bell,Tennessee,5,Muy bueno
Cholita Taqueria,Indiana,5,Muy bueno
Cerveza Jack's,Tennessee,5,Muy bueno
La Hacienda Mexican Restaurant,Pensilvania,4,Muy bueno
Xolo Tacos,Pensilvania,2,Muy bueno
Puerto Vallarta,Indiana,3,Muy bueno
Habanero Grill,Tennessee,4,Muy bueno
BK Tacos,Arizona,3,Muy bueno
Anna's Mexican Grill,Nevada,5,Muy bueno
El Pollo Loco,Nevada,3,Muy bueno
Salty's Island Bar & Grille,Florida,5,Muy bueno
Pizza Plus,Nevada,1,Muy bueno
Taco Bar,Florida,5,Muy bueno
Tin Roof Tacos,Idaho,3,Muy bueno
El Comalito,Pensilvania,2,Muy bueno
Agave House,Luisiana,3,Muy bueno
El Limon - Bryn Mawr,Pensilvania,5,Muy bueno
Diablo & Sons Saloon,Idaho,4,Muy bueno
The Rum House,Luisiana,4,Muy bueno
Broadway Brewhouse & Mojo,Tennessee,4,Muy bueno
The Little One,Arizona,5,Muy bueno
Lumbrada,Pensilvania,2,Muy bueno
Dos Hombres Taco House,Indiana,3,Muy bueno
Bartaco,Tennessee,4,Muy bueno
El Pescador,Florida,5,Muy bueno
Seoul Taco,Missouri,5,Muy bueno
Tiki Tolteca,Luisiana,4,Muy bueno
Las Cazuelas Grill,Luisiana,2,Malo
Carisilo's Mexican Restaurant,Illinois,5,Muy bueno
Laredo on Lafayette Square,Missouri,5,Muy bueno
San Antonio Taco Co,Tennessee,3,Muy bueno
Peppe's Mexican Grill,Pensilvania,5,Muy bueno
Margaritas Mexican Restaurant,Pensilvania,5,Muy bueno
Taqueria Y Antojitos La Poblanita,Florida,4,Muy bueno
El Limon,Pensilvania,5,Muy bueno
Branding Iron Cafe,Nevada,4,Muy bueno
Salsa Verde Mexican Restaurant,Indiana,5,Muy bueno
Rosy's Taco Bar,Pensilvania,4,Muy bueno
Casita Taqueria,Florida,5,Muy bueno
The Kolache Kitchen - New Orleans,Luisiana,4,Muy bueno
Senor Salsa,Pensilvania,4,Muy bueno
Salsa Verde Restaurant,Arizona,4,Muy bueno
The Quesadillas,Arizona,4,Muy bueno
Bistro Habanero,Nevada,5,Muy bueno
Restaurante Colosio,Nueva Jersey,5,Muy bueno
La Super-Rica Taqueria,California,5,Muy bueno
Chili's,Pensilvania,2,Muy bueno
El Nopal,Missouri,5,Muy bueno
Casa Fiesta,Tennessee,5,Malo
GUAC Tequila & Tacos,Florida,5,Muy bueno
GUAC Tequila & Tacos,Florida,5,Muy bueno
Bakersfield,Tennessee,4,Muy bueno
Baja Cafe on Campbell,Arizona,3,Muy bueno
Baja Sharkeez,California,5,Muy bueno
Mad Mex - Willow Grove,Pensilvania,5,Muy bueno
The Kolache Kitchen - New Orleans,Luisiana,4,Muy bueno
Charro Steak & Del Rey,Arizona,2,Muy bueno
Taco Bar,Florida,5,Muy bueno
Taco Bell,Indiana,3,Malo
Frenchy's Saltwater Cafe,Florida,5,Muy bueno
Beach Brewz,Florida,5,Muy bueno
Taco Bell,Pensilvania,3,Muy bueno
Chihuahua's Cantina & Grill,Nevada,5,Muy bueno
Rancho Rustico Restaurant,Arizona,5,Muy bueno
Lolita,Pensilvania,3,Muy bueno
Chuy's,Tennessee,5,Muy bueno
El Paso Mexican Grill,Luisiana,1,Malo
Chuy's,Tennessee,5,Muy bueno
Square on Square,Pensilvania,5,Muy bueno
El Guero Canelo,Arizona,1,Malo
Jimboy's Tacos,Nevada,2,Muy bueno
Taco Bell,Tennessee,1,Malo
Miguel's Mexican Food,Nevada,4,Muy bueno
Guadalajara Original Grill,Arizona,3,Muy bueno
Tacodelphia,Pensilvania,5,Muy bueno
Las Cazuelas Restaurant BYOB,Pensilvania,4,Malo
Nectar Urban Cantina,Tennessee,4,Muy bueno
Cantina Mexican Grill & Bar,Florida,2,Malo
Juan's Flying Burrito,Luisiana,1,Malo
San Antonio Taco Co,Tennessee,5,Muy bueno
Margarita House,Tennessee,2,Muy bueno
"Guadalajara Grill - Mexican, Best Mexican Restaurant in Tucson",Arizona,3,Muy bueno
El Molinito Restaurant,Arizona,1,Muy bueno
Red Mesa Cantina,Florida,3,Muy bueno
Mission Taqueria,Pensilvania,4,Muy bueno
Loren & Mari Mexican Grill,Indiana,2,Muy bueno
Chili's,Delaware,1,Muy bueno
El Rodeo,Indiana,5,Muy bueno
El Patron Mexican Grill and Cantina,Luisiana,5,Muy bueno
Miguel's Mexican Food,Nevada,4,Muy bueno
Plaza Azteca - King of Prussia,Pensilvania,5,Muy bueno
Bartaco,Tennessee,5,Muy bueno
La Mula Terca,Pensilvania,5,Muy bueno
Taco Giro,Arizona,5,Muy bueno
Chili's,Nueva Jersey,4,Muy bueno
Perfecto's Mexican,Arizona,5,Muy bueno
Tequila Mexican Restaurant,Missouri,4,Muy bueno
The Tamale Place,Indiana,5,Muy bueno
Los Patios,Indiana,1,Regular
Tacos El Tio,Nueva Jersey,3,Muy bueno
Central Taco & Tequila,Nueva Jersey,1,Malo
La Piedad,Indiana,5,Muy bueno
The Rum House,Luisiana,5,Muy bueno
Nitallys Thai-Mex Express,Florida,3,Muy bueno
Chava's Mexican Restaurant,Missouri,5,Muy bueno
Padaro Beach Grill,California,5,Muy bueno
Two Amigos Mexican Taqueria,Pensilvania,5,Muy bueno
Antojitos Puebla,Indiana,5,Muy bueno
El  Sitio,California,5,Muy bueno
La Indita,Arizona,5,Muy bueno
Viva Burrito,Arizona,2,Muy bueno
Chipotle Mexican Grill,Idaho,2,Malo
Tacos 46,Indiana,5,Regular
Costa Vida Fresh Mexican Grill,Nevada,1,Malo
Taqueria Hernandez,Florida,5,Muy bueno
Honest Tom's Plant Based Taco Shop,Pensilvania,4,Muy bueno
Jack in the Box,Missouri,1,Malo
Zapata's Mexican Restaurant,Illinois,1,Muy bueno
Los Compadres,Nevada,5,Muy bueno
La Mesa Tortillas,Arizona,5,Muy bueno
Bartaco,Florida,5,Muy bueno
Uncle Julio's,Tennessee,2,Muy bueno
Lorenzos Cabana,Nueva Jersey,4,Muy bueno
Cantina Feliz,Pensilvania,4,Muy bueno
Teresa's Mosaic Cafe,Arizona,2,Malo
Tanias 33 Mexican Food,Arizona,5,Muy bueno
Candelaria's Cafe Shop,Nevada,4,Muy bueno
Chipotle Mexican Grill,Pensilvania,1,Muy bueno
Chuy's,Florida,4,Muy bueno
Gran Agave,Florida,5,Muy bueno
Aqui Con el Nene,Arizona,4,Muy bueno
Carlitos Cafe Y Cantina,California,5,Muy bueno
Poncho's Restaurant,Arizona,5,Muy bueno
Mi Jalapeno,Illinois,5,Muy bueno
Walnut Grill - Sunset Hills,Missouri,5,Muy bueno
Chipotle Mexican Grill,Tennessee,1,Malo
Border Cafe,Delaware,1,Muy bueno
Habanero Grill,Tennessee,5,Muy bueno
Mas Tacos Por Favor,Tennessee,5,Muy bueno
Nada,Indiana,1,Malo
Costa Vida,Arizona,4,Muy bueno
Naked Fins,Idaho,4,Muy bueno
Garcia's Mexican Restaurant - Cool Springs,Tennessee,4,Muy bueno
El Rancho Viejo,Pensilvania,5,Muy bueno
The Greyhound Cafe,Pensilvania,5,Muy bueno
Chuy's Mesquite Broiler,Arizona,4,Muy bueno
Taqueria Jalisco,Delaware,4,Muy bueno
Dos Gringos Mexican Kitchen,Pensilvania,5,Muy bueno
Andale Latino Grill,Nueva Jersey,5,Muy bueno
Panaderia Azteca Mexico,Nevada,2,Muy bueno
Lucianas Mexican Restaurant,Indiana,5,Muy bueno
Miguel's Mexican Food,Nevada,4,Muy bueno
Casa Garcia Mexican Restaurant,Luisiana,1,Malo
Mission Taco Joint - Historic Soulard,Missouri,5,Muy bueno
Cholulas Mexican Restaurant,Illinois,5,Muy bueno
Taco Bell,Missouri,1,Muy bueno
Oscar’s Taco Shop,Tennessee,5,Muy bueno
Taco Bus,Florida,5,Muy bueno
El Charro Cafe,Arizona,2,Muy bueno
Poco & Moms,Arizona,4,Muy bueno
Mi Nidito Restaurant,Arizona,5,Muy bueno
Breakfast Stop,Arizona,4,Muy bueno
Taco Lindo,Nueva Jersey,4,Muy bueno
Rancho Rustico Restaurant,Arizona,5,Muy bueno
King George II Inn,Pensilvania,5,Muy bueno
Blue Corn,Pensilvania,5,Muy bueno
Taco Bell,Pensilvania,1,Malo
La Hacienda,Indiana,5,Muy bueno
The Corner,Pensilvania,3,Muy bueno
Taco Bell,Indiana,1,Muy bueno
Cuñada,Luisiana,5,Muy bueno
Elvira's,Arizona,4,Malo
Besito Mexican Restaurant,Pensilvania,5,Muy bueno
El Taco Loco,Luisiana,5,Muy bueno
Zeppelin,Nevada,5,Muy bueno
Las Palmas Mexican Restaurant,Tennessee,1,Muy bueno
Bartaco,Tennessee,4,Muy bueno
Street Taco And Beer,Arizona,5,Muy bueno
Sabrina's West Street Kitchen,Nevada,5,Muy bueno
Tres Amigos Cantina,Florida,2,Muy bueno
Chuy's,Florida,4,Muy bueno
Jack in the Box,Idaho,5,Muy bueno
Rubio's Coastal Grill,Florida,5,Muy bueno
Lucha II Authentic Mexican Food,Missouri,4,Muy bueno
El Grullense Taqueria,Tennessee,5,Muy bueno
"Guadalajara Grill - Fiesta, Best Mexican Restaurant in Tucson",Arizona,3,Muy bueno
Cafe Rio Mexican Grill,Idaho,1,Malo
Taqueria Pico De Gallo,Arizona,5,Muy bueno
Gil Tacos,Indiana,5,Muy bueno
Peppe's Mexican Grill,Pensilvania,5,Regular
Delgado's Mexican Foods,California,3,Muy bueno
Latin Bowl Restaurant-Largo,Florida,5,Muy bueno
Margarita's Grill,Indiana,4,Muy bueno
Chipotle Mexican Grill,Tennessee,1,Malo
Chipotle Mexican Grill,Idaho,5,Muy bueno
goa taco,California,5,Muy bueno
